time,power
0.000000000000000000e+00,1.100000000000000089e+00
1.010101010101010083e-01,1.110577367894106882e+00
2.020202020202020166e-01,1.119996891312980081e+00
3.030303030303030387e-01,1.128133209821323479e+00
4.040404040404040331e-01,1.134876481297458328e+00
5.050505050505050830e-01,1.140134595720890820e+00
6.060606060606060774e-01,1.143835064579435068e+00
7.070707070707070718e-01,1.145926527978286202e+00
8.080808080808080662e-01,1.146379832844269586e+00
9.090909090909090606e-01,1.145188648675184107e+00
1.010101010101010166e+00,1.142369601600417006e+00
1.111111111111111160e+00,1.137961922558333727e+00
1.212121212121212155e+00,1.132026620593047372e+00
1.313131313131313149e+00,1.124645207056479412e+00
1.414141414141414144e+00,1.115918010316034659e+00
1.515151515151515138e+00,1.105962132897240435e+00
1.616161616161616132e+00,1.094909113376980159e+00
1.717171717171717127e+00,1.082902363406418322e+00
1.818181818181818121e+00,1.070094455695613345e+00
1.919191919191919116e+00,1.056644341450024172e+00
2.020202020202020332e+00,1.042714575539195998e+00
2.121212121212121104e+00,1.028468624639804485e+00
2.222222222222222321e+00,1.014068327880277787e+00
2.323232323232323093e+00,9.996715713787082125e-01
2.424242424242424310e+00,9.854302278603047638e-01
2.525252525252525082e+00,9.714884006956716611e-01
2.626262626262626299e+00,9.579809987093554913e-01
2.727272727272727071e+00,9.450326545039916537e-01
2.828282828282828287e+00,9.327569853838987290e-01
2.929292929292929060e+00,9.212561827956010641e-01
3.030303030303030276e+00,9.106209040591684012e-01
3.131313131313131048e+00,9.009304295250049055e-01
3.232323232323232265e+00,8.922530395715916329e-01
3.333333333333333481e+00,8.846465593941996719e-01
3.434343434343434254e+00,8.781590155604553916e-01
3.535353535353535470e+00,8.728293469584373909e-01
3.636363636363636243e+00,8.686881140590700934e-01
3.737373737373737459e+00,8.657581542684474885e-01
3.838383838383838231e+00,8.640551373620514175e-01
3.939393939393939448e+00,8.635879832777555443e-01
4.040404040404040664e+00,8.643591145180244961e-01
4.141414141414140992e+00,8.663645266235562303e-01
4.242424242424242209e+00,8.695936721290566940e-01
4.343434343434343425e+00,8.740291655644832902e-01
4.444444444444444642e+00,8.796463288811452452e-01
4.545454545454544970e+00,8.864126076346192651e-01
4.646464646464646187e+00,8.942868978545689407e-01
4.747474747474747403e+00,9.032188313406137592e-01
4.848484848484848619e+00,9.131480727831523536e-01
4.949494949494949836e+00,9.240036853478655887e-01
5.050505050505050164e+00,9.357036220127965542e-01
5.151515151515151381e+00,9.481543979459576832e-01
5.252525252525252597e+00,9.612509946090038726e-01
5.353535353535353813e+00,9.748770392276747687e-01
5.454545454545454142e+00,9.889052940447226048e-01
5.555555555555555358e+00,1.003198478720988218e+00
5.656565656565656575e+00,1.017610436808801255e+00
5.757575757575757791e+00,1.031987643883712336e+00
5.858585858585858119e+00,1.046171041221506837e+00
5.959595959595959336e+00,1.059998165402716852e+00
6.060606060606060552e+00,1.073305531468373930e+00
6.161616161616161769e+00,1.085931215764850188e+00
6.262626262626262097e+00,1.097717574881442726e+00
6.363636363636363313e+00,1.108514029514216626e+00
6.464646464646464530e+00,1.118179837012193367e+00
6.565656565656565746e+00,1.126586774008614400e+00
6.666666666666666963e+00,1.133621651035104927e+00
6.767676767676767291e+00,1.139188584372238022e+00
6.868686868686868507e+00,1.143210956505203102e+00
6.969696969696969724e+00,1.145633005217618461e+00
7.070707070707070940e+00,1.146420992258367022e+00
7.171717171717171269e+00,1.145563915255122023e+00
7.272727272727272485e+00,1.143073740650264458e+00
7.373737373737373701e+00,1.138985150372270327e+00
7.474747474747474918e+00,1.133354810167082283e+00
7.575757575757575246e+00,1.126260182427372136e+00
7.676767676767676463e+00,1.117797920412649582e+00
7.777777777777777679e+00,1.108081893423794373e+00
7.878787878787878896e+00,1.097240903310858107e+00
7.979797979797979224e+00,1.085416161255727152e+00
8.080808080808081328e+00,1.072758599773909527e+00
8.181818181818181657e+00,1.059426098116355464e+00
8.282828282828281985e+00,1.045580699626502463e+00
8.383838383838384090e+00,1.031385897136572360e+00
8.484848484848484418e+00,1.017004057299512709e+00
8.585858585858586522e+00,1.002594047084600204e+00
8.686868686868686851e+00,9.883091158480387106e-01
8.787878787878787179e+00,9.742950748404219929e-01
8.888888888888889284e+00,9.606888032122454790e-01
8.989898989898989612e+00,9.476170960545066135e-01
9.090909090909089940e+00,9.351958563164417537e-01
9.191919191919192045e+00,9.235296191314075198e-01
9.292929292929292373e+00,9.127113846893220028e-01
9.393939393939394478e+00,9.028227248125317850e-01
9.494949494949494806e+00,8.939341192521137458e-01
9.595959595959595134e+00,8.861054707748798887e-01
9.696969696969697239e+00,8.793867436158843143e-01
9.797979797979797567e+00,8.738186679815324043e-01
9.898989898989899672e+00,8.694334540494557118e-01
1.000000000000000000e+01,8.662554622570559637e-01
