time,voltage,current,power,filtered_voltage
0.000000000000000000e+00,5.000000000000000000e+00,2.200000000000000011e-01,1.100000000000000089e+00,4.999945640769642097e+00
1.010101010101010083e-01,5.050419210129052594e+00,2.198980563171366032e-01,1.110577367894106882e+00,5.050353150318190210e+00
2.020202020202020166e-01,5.100324428261342469e+00,2.195932645199940025e-01,1.119996891312980081e+00,5.100271947497097891e+00
3.030303030303030387e-01,5.149206902223820492e+00,2.190887317684029056e-01,1.128133209821323479e+00,5.149179612474743983e+00
4.040404040404040331e-01,5.196568306074165200e+00,2.183896014550455733e-01,1.134876481297458328e+00,5.196565524946139547e+00
5.050505050505050830e-01,5.241925820218967580e+00,2.175030007718164737e-01,1.140134595720890820e+00,5.241939335818224244e+00
6.060606060606060774e-01,5.284817053454482938e+00,2.164379680526034022e-01,1.143835064579435068e+00,5.284836515923739597e+00
7.070707070707070718e-01,5.324804756752853585e+00,2.152053606331830182e-01,1.145926527978286202e+00,5.324821754118205241e+00
8.080808080808080662e-01,5.361481280739730515e+00,2.138177441675413459e-01,1.146379832844269586e+00,5.361491292200885717e+00
9.090909090909090606e-01,5.394472731422128575e+00,2.122892645289693458e-01,1.145188648675184107e+00,5.394475123180711762e+00
1.010101010101010166e+00,5.423442781801491641e+00,2.106355036018207894e-01,1.142369601600417006e+00,5.423439570734851500e+00
1.111111111111111160e+00,5.448096100514978168e+00,2.088733204340445793e-01,1.137961922558333727e+00,5.448090333840430510e+00
1.212121212121212155e+00,5.468181362552142488e+00,2.070206793698410042e-01,1.132026620593047372e+00,5.468175769824862975e+00
1.313131313131313149e+00,5.483493811354649417e+00,2.050964669145209918e-01,1.124645207056479412e+00,5.483490055942726649e+00
1.414141414141414144e+00,5.493877346180042309e+00,2.031202991985151807e-01,1.115918010316034659e+00,5.493875892074217226e+00
1.515151515151515138e+00,5.499226113450195186e+00,2.011123220033161352e-01,1.105962132897240435e+00,5.499226522078992652e+00
1.616161616161616132e+00,5.499485585861678238e+00,1.990930053879623185e-01,1.094909113376980159e+00,5.499486989636329426e+00
1.717171717171717127e+00,5.494653118257169844e+00,1.970829350097172972e-01,1.082902363406418322e+00,5.494654655152479528e+00
1.818181818181818121e+00,5.484777974591161787e+00,1.951026022662984416e-01,1.070094455695613345e+00,5.484779060217357838e+00
1.919191919191919116e+00,5.469960825715065589e+00,1.931721953990215845e-01,1.056644341450024172e+00,5.469961236618029687e+00
2.020202020202020332e+00,5.450352723101477892e+00,1.913113936864342945e-01,1.042714575539195998e+00,5.450352534665259263e+00
2.121212121212121104e+00,5.426153558969837754e+00,1.895391668265025142e-01,1.028468624639804485e+00,5.426153011406476878e+00
2.222222222222222321e+00,5.397610028511524938e+00,1.878735815525233166e-01,1.014068327880277787e+00,5.397609390070133628e+00
2.323232323232323093e+00,5.365013114988222753e+00,1.863316174541919390e-01,9.996715713787082125e-01,5.365012586827507590e+00
2.424242424242424310e+00,5.328695123341387507e+00,1.849289938814111245e-01,9.854302278603047638e-01,5.328694800845806157e+00
2.525252525252525082e+00,5.289026292553286268e+00,1.836800096954488704e-01,9.714884006956716611e-01,5.289026174490294885e+00
2.626262626262626299e+00,5.246411021294461463e+00,1.825973975010806993e-01,9.579809987093554913e-01,5.246411046208266704e+00
2.727272727272727071e+00,5.201283745334748687e+00,1.816921938457272956e-01,9.450326545039916537e-01,5.201283833550830238e+00
2.828282828282828287e+00,5.154104508745038338e+00,1.809736267088254413e-01,9.327569853838987290e-01,5.154104594581078835e+00
2.929292929292929060e+00,5.105354274038596429e+00,1.804490214284072136e-01,9.212561827956010641e-01,5.105354321625984682e+00
3.030303030303030276e+00,5.055530019062064895e+00,1.801237260239061388e-01,9.106209040591684012e-01,5.055530022823092828e+00
3.131313131313131048e+00,5.005139670620267545e+00,1.800010566764775333e-01,9.009304295250049055e-01,5.005139645924622016e+00
3.232323232323232265e+00,4.954696926483296515e+00,1.800822639226265509e-01,8.922530395715916329e-01,4.954696897072150996e+00
3.333333333333333481e+00,4.904716018562257140e+00,1.803665199057784274e-01,8.846465593941996719e-01,4.904716005906593068e+00
3.434343434343434254e+00,4.855706470639783667e+00,1.808509268157533212e-01,8.781590155604553916e-01,4.855706487867544219e+00
3.535353535353535470e+00,4.808167904096944056e+00,1.815305464301104899e-01,8.728293469584373909e-01,4.808167954701761282e+00
3.636363636363636243e+00,4.762584944588880376e+00,1.823984504562065345e-01,8.686881140590700934e-01,4.762585024554057966e+00
3.737373737373737459e+00,4.719422281592398960e+00,1.834457911607622893e-01,8.657581542684474885e-01,4.719422383017151112e+00
3.838383838383838231e+00,4.679119931190306225e+00,1.846618915669142047e-01,8.640551373620514175e-01,4.679120045775261971e+00
3.939393939393939448e+00,4.642088750385404694e+00,1.860343542992488053e-01,8.635879832777555443e-01,4.642088871818003781e+00
